name	phenotype	id
RRS-10	6.39447491201115	7515
Aa-0	12.3674664332785	7000
Amel-1	4.70199110114933	6990
An-2	8.07975391076518	6996
Baa-1	5.73018041833005	7002
Be-1	3.01407163019985	7011
Blh-2	7.31374652204252	7035
Boot-1	8.31048381313318	7026
Bsch-0	11.0241008766895	7031
CIBC-2	3.05592562541429	6727
CIBC-4	8.7726288669489	6729
CIBC-5	3.93567977355945	6730
CIBC-5	3.93567977355945	6908
Cit-0	10.4421887228223	7075
Co-4	12.4729871383841	7080
CSHL-5	8.02909286243204	6744
Da-0	11.7836202869103	7094
Db-0	10.5270642422701	7100
Di-1	8.53145952240306	7098
Do-0	23.5285540282037	7102
Ede-1	8.55945561435879	7110
Ep-0	13.1425603872085	7123
Es-0	8.8179286595866	7126
Est-0	10.5730754066075	7128
Ga-2	12.532264408472	7141
Gel-1	11.876363883358	7143
Gie-0	14.3673165470985	7147
Go-0	9.17150942561158	7151
Ha-0	12.3045925726847	7163
Hau-0	50.0606880575807	7164
Hh-0	14.7741552147565	7169
Jl-3	10.9851241127018	7424
Jm-1	6.39222987562068	7178
Kelsterbach-2	34.0988291574301	7188
Kl-5	18.7563939116199	7199
Kr-0	12.821749002397	7201
Kro-0	7.49137227942447	7206
Krot-2	15.0527351081874	7205
Li-3	6.10600124466317	7224
Li-5:2	6.44178369653503	7227
Li-6	6.32173551788277	7229
Li-7	2.56865676789247	7231
Mc-0	11.2798803521763	7252
Mh-0	6.62091454744664	7255
N4	5.24796611313167	7446
No-0	9.55948089969183	7273
No-0	9.55948089969183	7275
Nw-0	10.3698973157722	7258
Nw-0	10.3698973157722	8348
Nw-2	8.94809751289951	7260
Nz-1	6.30843653020148	7263
Ob-1	13.6253417999354	7277
Old-1	11.3095209787182	7280
Or-0	8.01588624826607	7282
Pa-2	16.5649001860124	7291
PHW-10	13.3478918573119	7479
PHW-26	12.5621017713445	7496
PHW-28	13.6654711804927	7498
PHW-31	25.6681374439321	7502
PHW-36	10.1720244664892	7507
PHW-37	13.4340289244993	7508
Pn-0	17.2014988803614	7307
Pu2-24	7.43883492498388	6953
Rhen-1	5.73092803699493	7316
Sapporo-0	11.1495224413088	7330
Sei-0	6.81909460650047	7333
Sh-0	3.15341329144894	7331
Si-0	9.12623871456393	7337
Sp-0	9.34865046919909	7343
Sten-0	9.89862314261258	7346
Tha-1	5.30550889072763	7353
Tiv-1	12.8350960551072	7355
Tsu-0	8.73091759137846	7373
Utrecht	17.5702717778077	7382
Wag-3	2.23411466477342	7390
Wag-4	4.64039104311582	7391
Wl-0	12.2067637397843	7411
Ws	6.61112478589171	7397
Wt-3	8.1134962539052	7408
11ME1.32	12.620081939997	8610
11PNA4.101	4.88691258226472	8796
328PNA054	3.70147832093878	8692
627ME-4Y1	4.5045663256389	NA
Ag-0	5.85064652708296	6897
Alc-0	7.1117799124837	6988
ALL1-2	10.3444966542911	1
ALL1-3	11.841034277796	2
App1-16	14.5017007107918	5832
B<e5>1-2	11.4506239563046	NA
Bay-0	17.253177548844	6899
Belmonte-4-94	17.0324057267683	957
Bg-2	7.38811027641951	6709
Bla-1	18.849415172803	7015
Bla-1	18.849415172803	8264
Blh-1	17.2652159207862	7034
Blh-1	17.2652159207862	8265
Bor-1	17.701055251639	5837
Br-0	8.36387609494872	6904
Br<f6>1-6	14.461087774926	NA
Bu-0	5.3181905435376	7036
Bu-0	5.3181905435376	8271
BUI	8.16093812135871	NA
Bur-0	14.2185243438686	5719
Bur-0	14.2185243438686	6905
Bur-0	14.2185243438686	7058
C24	14.7163700069281	6906
CAM-61	19.283675471231	66
Can-0	20.6416857653635	7063
Can-0	20.6416857653635	8274
CIBC-17	6.64604147046723	6907
CLE-6	7.11562680268117	NA
Col-0	11.3670326701909	6909
Ct-1	4.68835096585071	6910
Ct-1	4.68835096585071	7067
CUR-3	6.18517909154318	81
Cvi-0	7.13271207049839	6911
Dra3-1	20.3704932116481	8283
DraIV 1-14	8.94276633127734	5896
DraIV 1-5	8.24330804490755	5887
DraIV 1-7	16.383254597923	NA
DraIV 6-16	6.3719778952247	5987
DraIV 6-35	6.40569836921699	6005
Duk	11.5476102739363	6008
Eden-2	12.108051934133	6913
Edi-0	10.6365959236545	6914
Edi-0	10.6365959236545	7111
Est-1	9.06252579965119	6916
Fei-0	16.4645244118626	8215
Fei-0	16.4645244118626	9941
Fj<e4>1-1	9.15973143243071	NA
Fj<e4>1-2	17.1114443784553	NA
Fj<e4>1-5	24.0477580033863	NA
Ga-0	14.2310645319567	6919
Gd-1	10.8750274776718	7161
Gd-1	10.8750274776718	8296
Got-7	3.40202725288735	6921
Gr-1	3.19511113209011	430
Gr-1	3.19511113209011	8300
Gul1-2	6.20445252962444	8234
Gy-0	6.1000132807999	8214
Hod	8.71165976365243	8235
Hov4-1	10.8859614462653	8306
Hs-0	7.24134267626254	7162
Hs-0	7.24134267626254	8310
HSm	4.19509077069848	8236
In-0	6.30754159416805	8311
JEA	4.96743975385977	91
Ka-0	2.89521994212324	8314
Kas-1	5.04218453814084	7183
KBS-Mac-8	7.53785042001341	1716
Kno-18	14.3669650567471	NA
PHW-3	25.8881699022634	8239
Kulturen-1	15.6455177855262	8240
LAC-3	25.0039647402924	94
LAC-5	19.393823384255	96
Lc-0	29.5131454026555	8323
LDV-25	12.5126721823516	116
LDV-34	13.331842389596	126
LDV-58	12.8713202127408	149
LI-OF-095	31.2372706243014	641
Liarum	10.4883168622411	8241
Lill<f6>-1	27.9408704594681	NA
Lip-0	23.2660661757789	8325
Lis-1	6.86454816438535	8326
Lis-2	5.91429095897559	8222
Lisse	2.3121138368143	8430
LL-0	3.16664262631103	6933
Lm-2	3.76172367975548	7217
Lm-2	3.76172367975548	8329
Lom1-1	4.33152274211252	6042
L<f6>v-5	7.38654605146499	NA
Lp2-2	4.0798004564645	7520
Lp2-6	4.39738608842633	7521
Lz-0	7.6066759638892	6936
Map-42	7.08083370048565	2057
MIB-15	15.0784744694495	166
MIB-22	6.84942843780733	173
MIB-28	7.70548979483535	178
MNF-Che-2	4.56187286285936	1925
MNF-Pot-48	8.2325291788451	1859
MNF-Pot-68	5.11608142264613	1867
MOG-37	6.21788852258912	242
Mr-0	4.93424990786384	7522
Mrk-0	10.6921877233839	6937
Mt-0	11.0530909787273	6939
Mz-0	11.6947910844533	6940
N13	11.212755083553	7438
Na-1	14.5345975511477	8343
NC-6	7.92259706001891	8246
Nd-1	4.19256354367594	6942
NFA-10	8.35498338565514	6943
NFA-8	9.27611119172812	6944
<d6>m<f6> 2-1	10.8911462830496	NA
<d6>r-1	8.19898084908794	NA
Ost-0	6.7296874590185	8351
Oy-0	7.09439586035704	6946
Oy-0	7.09439586035704	7288
Pa-1	11.2390065220521	8353
PAR-4	8.06253074636481	259
PAR-5	12.4068530449165	260
Paw-3	10.9177934098874	2150
Pent-1	5.96317275944126	2187
Per-1	6.14336751227647	8354
Petergof	19.2953504413722	7296
PHW-34	15.3833125023621	8244
Pna-17	9.35726313239566	7523
Pro-0	5.34611830686482	8213
Pu2-23	4.52248290150063	6951
Rak-2	16.5621572947941	8365
Ren-1	16.8174577090171	NA
Rmx-A180	7.94425404862953	7525
Rsch-4	11.0256948083975	7322
Rsch-4	11.0256948083975	8374
Sanna-2	6.48657302307204	8376
Sap-0	8.96567935927557	8378
Sav-0	8.83536689724812	7340
Sav-0	8.83536689724812	8412
Se-0	10.6212993843955	6961
Shahdara	16.8890727417134	6962
SLSP-30	6.92364153622927	2274
Sq-8	7.75040397558516	6967
St-0	8.03482825677098	8387
Ste-3	12.0309107288689	2290
T1040	10.5061166450225	6094
T1060	11.4490995964083	6096
T1110	5.4746872831463	6100
Ta-0	13.3993852257779	7349
Ta-0	13.3993852257779	8389
